year_quarter,price_per_sqm
2011-1,3.153
2011-2,3.349
2011-3,3.099
2011-4,3.058
2012-1,2.835
2012-2,2.925
2012-3,2.693
2012-4,2.697
2013-1,2.746
2013-2,2.744
2013-3,2.848
2013-4,2.764
2014-1,2.926
2014-2,2.955
2014-3,3.021
2014-4,3.047
2015-1,3.141
2015-2,3.312
2015-3,3.373
2015-4,3.590
2016-1,3.589
2016-2,3.721
2016-3,3.934
2016-4,3.945
2017-1,4.303
2017-2,4.154
2017-3,4.382
2017-4,4.561
2018-1,4.304
2018-2,4.848
2018-3,4.906
2018-4,5.119
2019-1,5.102
2019-2,5.000
2019-3,5.059
2019-4,5.457
2020-1,5.659
2020-2,5.741
2020-3,5.583
2020-4,5.710
2021-1,6.064
2021-2,6.545
2021-3,6.719
2021-4,6.944
2022-1,6.912
2022-2,7.147
2022-3,7.178
